# partial outage series 2026-09-07: 16 GiB Core, 10 GiB heap, 250 threads, 11,000 devices, netem 75/25 ms. Levels 25/50/75/100% of the fleet dropped silently by /24 blocks on netsim (bin/level.sh); each level 3 cycles, judged over cycles 2-3, then 2 cycles recovery.
time services pending active done_s core% minion% db% heap_gib oldgc_min snmp_mbit core_load events_1m dcfailed_1m dcsucceeded_1m alarms alarms_open_major
15:43:16 11004 78 250 49.4 88.3 41.8 42.1 9.3 0.2 27.3 16.6 230 0 0 4404 4404
15:44:16 11004 0 0 48.8 86.6 38.6 38.8 9.2 0.2 23.6 17.9 164 0 0 4404 4404
15:45:17 11004 0 45 5.5 20.6 7.3 8.1 8.6 0.2 6.1 7.1 236 0 0 4404 4404
15:46:16 11004 0 245 40.4 72.1 33.6 31.8 9.2 0.2 22.9 18.3 242 0 0 4404 4404
15:47:17 11004 213 250 43.7 84.3 34.7 35.9 7.9 0.2 24.1 27.6 173 0 0 4404 4404
15:48:16 11004 152 250 49.4 83.7 40.1 37.6 9.1 0.2 27.0 20.1 220 0 0 4404 4404
15:49:17 11004 46 250 43.7 88.6 36.9 35.7 7.3 0.4 24.0 29.4 245 0 0 4404 4404
15:50:16 11004 0 31 5.5 18.6 7.3 6.4 8.3 0.4 6.0 12.4 195 0 0 4404 4404
15:51:17 11004 7 250 40.2 72.9 33.8 34.7 8.9 0.4 22.9 25.8 252 0 0 4404 4404
15:52:16 11004 234 250 42.4 85.9 35.6 34.6 7.2 0.4 24.1 26.9 264 0 0 4404 4404
